
 STRATEGY REPORT:
Total positive trades: 67 (12934.250000 points); Total negative trades: 56 (-8443.830000 points);
 Net loss/profit: 4490.420000

 Trade no: 95; Direction: long; Entry date: 15/09/2022 17:00:00 CEST; Entry closing price: 12956.660000; Exit date: 20/09/2022 09:00:00 CEST; Exit closing price: 12819.330000; Loss/profit: -137.330000; Current p&l: 4004.860000
 Trade no: 96; Direction: long; Entry date: 23/09/2022 14:00:00 CEST; Entry closing price: 12277.520000; Exit date: 27/09/2022 15:00:00 CEST; Exit closing price: 12235.640000; Loss/profit: -41.880000; Current p&l: 3962.980000
 Trade no: 97; Direction: long; Entry date: 28/09/2022 12:00:00 CEST; Entry closing price: 12047.410000; Exit date: 30/09/2022 13:00:00 CEST; Exit closing price: 12000.750000; Loss/profit: -46.660000; Current p&l: 3916.320000
 Trade no: 98; Direction: long; Entry date: 13/10/2022 15:00:00 CEST; Entry closing price: 12134.800000; Exit date: 14/10/2022 10:00:00 CEST; Exit closing price: 12432.560000; Loss/profit: 297.760000; Current p&l: 4214.080000
 Trade no: 99; Direction: short; Entry date: 27/10/2022 17:00:00 CEST; Entry closing price: 13211.230000; Exit date: 01/11/2022 09:00:00 CET; Exit closing price: 13391.910000; Loss/profit: -180.680000; Current p&l: 3910.030000
 Trade no: 100; Direction: short; Entry date: 31/10/2022 13:00:00 CET; Entry closing price: 13268.540000; Exit date: 02/11/2022 14:00:00 CET; Exit closing price: 13292.370000; Loss/profit: -23.830000; Current p&l: 4141.590000
 Trade no: 101; Direction: short; Entry date: 01/11/2022 12:00:00 CET; Entry closing price: 13424.390000; Exit date: 03/11/2022 13:00:00 CET; Exit closing price: 13023.060000; Loss/profit: 401.330000; Current p&l: 4410.900000
 Trade no: 102; Direction: short; Entry date: 09/11/2022 09:00:00 CET; Entry closing price: 13616.410000; Exit date: 10/11/2022 15:00:00 CET; Exit closing price: 14077.390000; Loss/profit: -460.980000; Current p&l: 3949.920000
 Trade no: 103; Direction: short; Entry date: 11/11/2022 10:00:00 CET; Entry closing price: 14213.030000; Exit date: 15/11/2022 11:00:00 CET; Exit closing price: 14282.190000; Loss/profit: -69.160000; Current p&l: 3880.760000
 Trade no: 104; Direction: short; Entry date: 24/11/2022 10:00:00 CET; Entry closing price: 14533.300000; Exit date: 28/11/2022 11:00:00 CET; Exit closing price: 14413.810000; Loss/profit: 119.490000; Current p&l: 4000.250000
 Trade no: 105; Direction: long; Entry date: 29/11/2022 11:00:00 CET; Entry closing price: 14389.170000; Exit date: 01/12/2022 10:00:00 CET; Exit closing price: 14464.430000; Loss/profit: 75.260000; Current p&l: 4075.510000
 Trade no: 106; Direction: short; Entry date: 04/01/2023 10:00:00 CET; Entry closing price: 14356.480000; Exit date: 06/01/2023 11:00:00 CET; Exit closing price: 14436.490000; Loss/profit: -80.010000; Current p&l: 3995.500000
